title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
The Yards,4.5,10,Prime Video,2000.0,R,James Gray,"Mark Wahlberg,Joaquin Phoenix,Charlize Theron",3.99
Goldeneye,4.6,3746,Prime Video,1995.0,PG-13,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco",4.830464886251237
Eminem AKA,4.2,100,Prime Video,2022.0,R,Mike Corbera,"Eminem,Anthony 'Treach' Criss,Marc Kempf",4.830464886251237
"Daniel Tiger's Neighborhood: You Are Special, Daniel Tiger!",4.6,67,Prime Video,2012.0,G,Vadim Kapridov,"Amariah Faulkner,Ted Dykstra,Addison Holley",3.99
The Other Guys,4.6,10349,Prime Video,2010.0,PG-13,Adam McKay,"Mark Wahlberg,Will Ferrell,Eva Mendes,Michael Keaton",4.830464886251237
Red (4K UHD),4.8,1999,Prime Video,2010.0,PG-13,Robert Schwentke,"Bruce Willis,Helen Mirren,Morgan Freeman",3.99
Pinkfong 50 Best Hits: Baby Shark and More,4.2,371,Prime Video,2019.0,R,,Pinkfong,1.99
22 Jump Street,4.6,18032,Prime Video,2014.0,R,"Phil Lord,Christopher Miller,Chris Miller","Jonah Hill,Channing Tatum,Peter Stormare",3.59
The Cutting Edge: Going For The Gold,4.5,1211,Prime Video,2006.0,PG-13,Sean McNamara,"Christy Carlson Romano,Ross Thomas",4.830464886251237
Black Snake Moan,4.5,2202,Prime Video,2007.0,R,Craig Brewer,"Samuel L. Jackson,Christina Ricci",4.830464886251237
Catwoman,4.6,4068,Prime Video,2004.0,PG-13,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",2.89
All About the Benjamins,4.8,4645,Prime Video,2002.0,R,Kevin Bray,"Ice Cube,Mike Epps,Valarie Rae Miller,Eva Mendes",2.99
Shock and Awe,4.1,1129,Prime Video,2018.0,R,Rob Reiner,"Woody Harrelson,Rob Reiner,James Marsden,Jessica Biel",2.99
Ghost Story,4.5,1627,Prime Video,1981.0,R,John Irvin,"Fred Astaire,John Houseman,Melvyn Douglas",3.79
What's The Worst That Could Happen?,4.4,638,Prime Video,2001.0,PG-13,Sam Weisman,"Martin Lawrence,Danny DeVito,John Leguizamo",4.830464886251237
The Ambush,4.0,610,Prime Video,2021.0,R,Pierre Morel,"Marwan Abdulla Saleh,Khalifa Al Jassem",4.830464886251237
Spider-Man: No Way Home (Extended Version),4.8,79317,Prime Video,2022.0,PG-13,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jamie Foxx",14.99
9/11: Minute by Minute,4.1,255,Prime Video,2021.0,R,Piers Garland,"Betty Ong,Nydia Gonzalez,George W. Bush",2.99
Finding Faith,4.4,184,Prime Video,2013.0,R,Justin Rossbacher,"Erik Estrada,Stephanie Owens,Jamie Watson",4.830464886251237
The Longest Month,4.3,71,Prime Video,2022.0,R,Kenn Christenson,Ryan K. Welch,4.830464886251237
Spider-Man: No Way Home (Extended Version),4.8,79317,Prime Video,2022.0,PG-13,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jamie Foxx",14.99
Home Alone 2: Lost in New York,4.8,33009,Prime Video,1992.0,PG,Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern",3.99
The Spiderwick Chronicles,4.7,5603,Prime Video,2008.0,PG,Mark Waters,"Freddie Highmore,Mary-Louise Parker",4.830464886251237
The Cutting Edge: Going For The Gold,4.5,1211,Prime Video,2006.0,PG-13,Sean McNamara,"Christy Carlson Romano,Ross Thomas",4.830464886251237
Code of the Assassins,4.2,289,Prime Video,2023.0,R,Daniel Lee,"Shaofeng Feng,Chen Jen,Norman Chu",3.99
Hands Up,4.0,171,Prime Video,2021.0,R,Chuck Whitman,"LaRoyce Hawkins,Jamall Woodard,Kris Lofton",4.830464886251237
Egypt: A Sunken City,4.3,49,Prime Video,2012.0,R,Jan Tenhaven,,4.830464886251237
The Last Samurai,4.8,10399,Prime Video,2003.0,R,Edward Zwick,"Tom Cruise,Timothy Spall,Ken Watanabe,Billy Connolly",3.99
Black Snake Moan,4.5,2202,Prime Video,2007.0,R,Craig Brewer,"Samuel L. Jackson,Christina Ricci",4.830464886251237
What's The Worst That Could Happen?,4.4,638,Prime Video,2001.0,PG-13,Sam Weisman,"Martin Lawrence,Danny DeVito,John Leguizamo",4.830464886251237
The Dirty 3rd: Next Generation,4.4,167,Prime Video,2023.0,R,Nahala Johnson,"Dakarai Henderson,Clifton Powell,Christopher Dudley",4.99
Back in the Day,4.2,62,Prime Video,2005.0,R,James Hunter,"Joe Morton,Ja Rule,Ving Rhames,Tia Carrere",4.830464886251237
Harry Potter and the Goblet of Fire,4.9,57533,Prime Video,2005.0,PG-13,Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.79
Train to Busan,4.8,8115,Prime Video,2016.0,R,Yeon Sang-ho,"Gong Yoo,Ma Dong-Seok,Jung Yu-mi,Kim Soo-Ahn",4.830464886251237
Bad Times at The El Royale,4.4,8805,Prime Video,2018.0,R,Drew Goddard,"Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jon Hamm",4.830464886251237
Burning Bright,4.4,306,Prime Video,2010.0,PG-13,Carlos Brooks,"Garret Dillahunt,Meat Loaf,Mary Rachel Dudley",4.830464886251237
About My Father,4.1,3218,Prime Video,2023.0,PG-13,Laura Terruso,"Sebastian Maniscalco,Robert De Niro,Leslie Bibb",5.99
Clueless,4.8,18114,Prime Video,1995.0,PG-13,Amy Heckerling,"Alicia Silverstone,Stacey Dash,Brittany Murphy",3.79
How to Lose a Guy in 10 Days,4.8,14012,Prime Video,2003.0,R,Donald Petrie,"Kate Hudson,Matthew McConaughey,Adam Goldberg",3.99
It,4.5,62722,Prime Video,2017.0,R,Andy Muschietti,"Bill Skarsgård,Jaeden Lieberher,Finn Wolfhard",4.830464886251237
Sabotage,4.3,2211,Prime Video,2014.0,R,David Ayer,"Arnold Schwarzenegger,Sam Worthington",3.79
The Equalizer 2,4.7,58673,Prime Video,2018.0,R,Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders",3.59
Forsaken (2014),4.5,4628,Prime Video,2016.0,R,Jon Cassar,"Esther Purves-Smith,Kiefer Sutherland",4.830464886251237
Happy People: A Year in the Taiga,4.5,2211,Prime Video,2013.0,R,"Werner Herzog,Dmitry Vasyukov",Werner Herzog,4.830464886251237
Back in the Day,4.2,62,Prime Video,2005.0,R,James Hunter,"Joe Morton,Ja Rule,Ving Rhames,Tia Carrere",4.830464886251237
Mission: Impossible - Rogue Nation,4.6,29939,Prime Video,2015.0,PG-13,Christopher McQuarrie,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson",3.39
Puss in Boots,4.7,4109,Prime Video,2011.0,PG,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",3.79
The Librarian: Quest for the Spear,4.6,1705,Prime Video,2004.0,R,Peter Winther,"Noah Wyle,Sonya Walger,Bob Newhart",4.830464886251237
Untouchables,4.7,8935,Prime Video,1987.0,R,Brian De Palma,"Kevin Costner,Robert De Niro,Andy Garcia,Sean Connery",3.79
Love In Bloom,4.3,26,Prime Video,2022.0,PG,Rogue Rubin,"Susie Abromeit,Julian Haig,Monette Lee,Steven Tandy",4.830464886251237
Maya The Bee 3: The Golden Orb,4.6,101,Prime Video,2021.0,R,Noel Cleary,"Benson Jack Anthony,Frances Berry",4.830464886251237
My Husband's Double Life,4.2,216,Prime Video,2002.0,R,Alan Metzger,"Michael Cera,Margaret Colin,Jay O. Sanders,Will Estes",4.830464886251237
Love In Bloom,4.3,26,Prime Video,2022.0,PG,Rogue Rubin,"Susie Abromeit,Julian Haig,Monette Lee,Steven Tandy",4.830464886251237
Tesla,4.0,69,Prime Video,2016.0,R,James E. Dunford,Michael Murphy,3.99
Tyler Perry's Why Did I Get Married Too?,4.7,5205,Prime Video,2010.0,PG-13,Tyler Perry,"Tyler Perry,Janet Jackson",4.830464886251237
Freddy vs. Jason,4.5,8564,Prime Video,2003.0,R,Ronny Yu,"Robert Englund,Ken Kirzinger,Kelly Rowland",4.830464886251237
County Line,4.4,1015,Prime Video,2017.0,PG,Shea Sizemore,"Tom Wopat,Jeff Fahey,Patricia Richardson",4.830464886251237
Teenage Mutant Ninja Turtles: Out of the Shadows,4.6,12907,Prime Video,2016.0,PG-13,Dave Green,"Megan Fox,Will Arnett,Laura Linney,Stephen Amell",3.39
Need For Speed (Theatrical),4.7,13436,Prime Video,2014.0,PG-13,Scott Waugh,"Aaron Paul,Dominic Cooper,Imogen Poots",3.79
Anna,4.3,13920,Prime Video,2019.0,R,Luc Besson,"Sasha Luss,Luke Evans,Cillian Murphy,Helen Mirren",4.830464886251237
Once Bitten,4.7,1156,Prime Video,1985.0,PG-13,,Howard Storm,4.830464886251237
Family Camp,4.2,2951,Prime Video,2022.0,PG,Brian Cates,"Tommy Woodard,Eddie James,Leigh-Allyn Baker",3.79
Things To Do In Denver When You're Dead,4.4,1023,Prime Video,1995.0,R,Gary Fleder,"Andy Garcia,Treat Williams,Bill Nunn,Gabrielle Anwar",3.99
The Librarian: Quest for the Spear,4.6,1705,Prime Video,2004.0,R,Peter Winther,"Noah Wyle,Sonya Walger,Bob Newhart",4.830464886251237
Happy People: A Year in the Taiga,4.5,2211,Prime Video,2013.0,R,"Werner Herzog,Dmitry Vasyukov",Werner Herzog,4.830464886251237
12 Feet Deep: Trapped Sisters,4.0,3650,Prime Video,2017.0,R,Matt Eskandari,"Alexandra Park,Nora-Jane Noone,Diane Farr,Tobin Bell",0.89
Woman Of Straw,4.4,228,Prime Video,1964.0,R,"Dearden,Basil","Gina Lollobrigida,Ralph Richardson,Sean Connery",4.830464886251237
Take Care,4.0,113,Prime Video,2014.0,R,Liz Tuccillo,"Leslie Bibb,Kevin Curtis,Nadia Dajani",4.830464886251237
Wildflower,4.6,327,Prime Video,1991.0,R,Diane Keaton,"Reese Witherspoon,Patricia Arquette,Beau Bridges",4.830464886251237
Proud Mary,4.6,4562,Prime Video,2018.0,R,Babak Najafi,"Taraji P. Henson,Billy Brown,Jahi Di'Allo Winston",3.89
Steven Michael Quezada: The New Mexican,4.1,11,Prime Video,2022.0,R,Brian Volk Weiss,Steven Michael Quezada,4.830464886251237
The Equalizer 2,4.7,58673,Prime Video,2018.0,R,Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders",3.59
Daniel Visits a New Neighborhood,4.8,107,Prime Video,2022.0,R,Tammy Langton,"Asher Bolduc-Theron,Heather Bambrick,Ted Dykstra",1.99
Suicide Squad,4.7,7649,Prime Video,2016.0,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",4.830464886251237
Bodies Bodies Bodies,4.0,2841,Prime Video,2022.0,R,Not Specified,"Amandla Stenberg,Pete Davidson,Lee Pace",4.69
John Tucker Must Die,4.6,4132,Prime Video,2006.0,PG-13,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Sophia Bush",3.79
Twisted,4.4,841,Prime Video,2004.0,R,Philip Kaufman,"Ashley Judd,Samuel L. Jackson,Andy Garcia",3.29
Along with the Gods: The Two Worlds,4.6,1249,Prime Video,2017.0,R,KIM Yong-hwa,"HA Jung-woo,CHA Tae-hyun,JU Ji-hoon,KIM Hyang-gi",4.830464886251237
The Conjuring: The Devil Made Me Do It,4.5,23522,Prime Video,2021.0,R,Michael Chaves,"Patrick Wilson,Vera Farmiga,Ruairi O'Connor",4.830464886251237
Bent,4.0,1035,Prime Video,2018.0,R,"Robert ""Bobby"" Moresco","Crime,Thriller",4.830464886251237
Everything Everywhere All At Once,4.4,34015,Prime Video,2022.0,R,"Daniel Scheinert,Dan Kwan","Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Jenny Slate",3.99
The Next Three Days,4.5,3266,Prime Video,2010.0,PG-13,Paul Haggis,"Russell Crowe,Elizabeth Banks,Brian Dennehy",3.79
Sabotage,4.3,2211,Prime Video,2014.0,R,David Ayer,"Arnold Schwarzenegger,Sam Worthington",3.79
Up in Smoke,4.7,7776,Prime Video,1978.0,R,Lou Adler,"Cheech Marin,Thomas,Edie Adams,Stacy Keach",3.79
Tomorrow Is Forever,4.7,379,Prime Video,1946.0,R,"Pichel,Irving","Claudette Colbert,Orson Welles,George Brent",4.830464886251237
Finders Keepers,4.2,282,Prime Video,2014.0,R,Alexander Yellen,"Jaime Pressly,Patrick Muldoon,Tobin Bell",4.830464886251237
MFKZ,4.5,764,Prime Video,2018.0,R,"Guillaume ""Run"" Renard,Shojiro Nishimi","Michael Chiklis,Giancarlo Esposito,Dascha Polanco,RZA",3.99
Respect,4.5,32179,Prime Video,2021.0,PG-13,Liesl Tommy,"Jennifer Hudson,Forest Whitaker,Marlon Wayans",3.99
For Your Eyes Only,4.6,2248,Prime Video,1981.0,PG,John Glen,"Roger Moore,Carole Bouquet,Topol,Lynn-Holly Johnson",3.99
Catwoman,4.6,4068,Prime Video,2004.0,PG-13,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",2.89
The Green Hornet,4.3,2671,Prime Video,2011.0,PG-13,Michel Gondry,"Edward James Olmos,Seth Rogen,David Harbour",4.830464886251237
Stalin's Executioners: The Katyn Massacre,4.5,2,Prime Video,2023.0,R,,Cédric Tourbe,4.830464886251237
Fatal Attraction,4.7,4699,Prime Video,1987.0,R,Adrian Lyne,"Michael Douglas,Glenn Close,Anne Archer,Ellen Latzen",4.830464886251237
The Pianist,4.7,5365,Prime Video,2003.0,R,Roman Polanski,"Adrien Brody,Emilia Fox,Michal Zebrowski,Ed Stoppard",9.99
Beethoven,4.7,4792,Prime Video,1992.0,PG,Brian Levant,"Nicholle Tom,Christopher Castile,Sarah Rose Karr",3.79
The Firm,4.6,1742,Prime Video,1993.0,R,Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman",3.99
The Day of the Jackal,4.7,2723,Prime Video,1973.0,PG,Fred Zinnemann,"Edward Fox,Michel Lonsdale,Tony Britton",3.79
The Truman Show,4.7,14547,Prime Video,1998.0,PG,Peter Weir,"Ed Harris,Holland Taylor,Jim Carrey,Laura Linney",3.79
Lansky,4.1,5066,Prime Video,2021.0,R,Eytan Rockaway,"Harvey Keitel,Sam Worthington,Annasophia Robb",2.99
X,4.0,8240,Prime Video,2022.0,R,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
10 Cloverfield Lane,4.4,9513,Prime Video,2016.0,PG-13,Dan Trachtenberg,"John Goodman,Mary Elizabeth Winstead",3.99
Intersection,4.4,565,Prime Video,1994.0,R,Mark Rydell,"Richard Gere,Sharon Stone,Lolita Davidovich",3.79
Blade,4.7,7841,Prime Video,1998.0,R,Stephen Norrington,"Donal Logue,N'bushe Wright,Kris Kristofferson",4.830464886251237
The Way Home,4.7,1147,Prime Video,2016.0,PG,Lance W Dreesen,"Pierce Gagnon,Dean Cain,Tom Nowicki,Brett Rice",4.830464886251237
9/11: Minute by Minute,4.1,255,Prime Video,2021.0,R,Piers Garland,"Betty Ong,Nydia Gonzalez,George W. Bush",2.99
The Crow: Salvation,4.5,267,Prime Video,2000.0,R,Bharat Nalluri,"Kristen Dunst,Walton Goggins",4.830464886251237
Red (4K UHD),4.8,1999,Prime Video,2010.0,PG-13,Robert Schwentke,"Bruce Willis,Helen Mirren,Morgan Freeman",3.99
Christmas with Felicity,4.2,5,Prime Video,2021.0,R,Jack C. Newell,"Sarah Brooks,Herb Porter,Saige Chaseley",4.830464886251237
That Awkward Moment,4.6,4582,Prime Video,2014.0,R,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",4.830464886251237
Jules,4.5,136,Prime Video,2023.0,PG-13,Marc Turtletaub,"Ben Kingsley,Jane Curtin,Harriet Samson Harris",5.99
Zombieland: Double Tap,4.5,45087,Prime Video,2019.0,R,Ruben Fleischer,"Woody Harrelson,Jesse Eisenberg,Emma Stone",3.59
Mad Max,4.5,4880,Prime Video,1980.0,R,George Miller,"Mel Gibson,Steve Bisley",4.830464886251237
Mission: Impossible - Fallout,4.6,23398,Prime Video,2018.0,PG-13,Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",3.79
Rango,4.7,7251,Prime Video,2011.0,PG,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
Back to School,4.7,2017,Prime Video,1986.0,PG-13,"Metter,Alan","Rodney Dangerfield,Sally Kellerman,Burt Young",3.49
That Awkward Moment,4.6,4582,Prime Video,2014.0,R,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",4.830464886251237
Rango,4.7,7251,Prime Video,2011.0,PG,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
The Nun II Extended Preview,5.0,1,Prime Video,2023.0,R,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",4.830464886251237
X,4.0,8240,Prime Video,2022.0,R,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
Cobweb,4.0,1760,Prime Video,2023.0,R,Samuel Bodin,"Lizzy Caplan,Woody Norman,Cleopatra Coleman",5.99
Batman (1989),4.7,11102,Prime Video,1989.0,PG-13,Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger",2.99
Godzilla vs. Kong,4.6,40533,Prime Video,2021.0,PG-13,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",4.830464886251237
According To Greta,4.2,220,Prime Video,2009.0,PG-13,Nancy Bardawil,"Hilary Duff,Ellen Burstyn,Michael Murphy,Evan Ross",4.830464886251237
¿Quieres ser mi hijo?,5.0,1,Prime Video,2023.0,R,Ihtzi Hurtado,"Juanpa Zurita,Ludwika Paleta",4.830464886251237
Look Away,4.0,3010,Prime Video,2018.0,R,Assaf Bernstein,"India Eisley,Jason Isaacs,Mira Sorvino",2.99
Thunderball,4.7,3276,Prime Video,1965.0,PG,Terence Young,"Sean Connery,Claudine Auger,Adolfo Celi",3.89
Impact Winter: An Audible Original Audio Series,5.0,10,Prime Video,2022.0,R,Travis Beacham,"Holliday Grainger,Esme Creed-Miles,Caroline Ford",4.830464886251237
Zack And Miri Make A Porno,4.6,1705,Prime Video,2008.0,R,Kevin Smith,"Seth Rogen,Elizabeth Banks,Craig Robinson,Justin Long",3.79
Jewel,4.2,42,Prime Video,2001.0,R,Paul Shapiro,"Farrah Fawcett,Cicely Tyson,Patrick Bergin",4.830464886251237
The Boogeyman,4.3,470,Prime Video,2023.0,PG-13,Rob Savage,"Sophie Thatcher,Chris Messina,Vivien Lyra Blair",5.99
Our Friend,4.5,8344,Prime Video,2021.0,R,Gabriela Cowperthwaite,"Jason Segel,Dakota Johnson,Casey Affleck",3.99
The Earthing Movie,4.7,235,Prime Video,2017.0,R,"Josh Tickell,Rebecca Tickell","Deepak Chopra,Mariel Hemmingway,Amy Smart",4.830464886251237
The Program,4.7,2513,Prime Video,1993.0,R,David S. Ward,"James Caan,Halle Berry,Omar Epps,Craig Sheffer",3.79
A Bride for Christmas,4.5,410,Prime Video,2012.0,R,Gary Yates,"Arielle Kebbel,Andrew W. Walker,Kimberley Sustad",2.99
Death Becomes Her,4.8,14412,Prime Video,1992.0,PG-13,Robert Zemeckis,"Goldie Hawn,Bruce Willis,Meryl Streep",3.79
Lucy,4.6,35319,Prime Video,2014.0,R,Luc Besson,"Scarlett Johansson,Morgan Freeman,Min-sik Choi",4.830464886251237
Unseen,4.0,70,Prime Video,2023.0,R,Yoko Okumura,"Midori Francis,Jolene Purdy,Missi Pyle",4.830464886251237
The Outsider,4.6,82,Prime Video,2002.0,R,Randa Haines,"Naomi Watts,Keith Carradine,David Carradine",4.830464886251237
American Gothic,4.5,302,Prime Video,1988.0,R,John Hough,"Sarah Torgov,Terence Kelly",4.830464886251237
Being Frank,4.1,821,Prime Video,2019.0,R,Miranda Bailey,"Jim Gaffigan,Logan Miller,Samantha Mathis",4.830464886251237
Susie's Hope,4.5,1054,Prime Video,2014.0,PG-13,Jerry Rees,"Emmanuelle Vaguer,Burgess Jenkins,John Provost",4.830464886251237
Jamesy Boy,4.5,250,Prime Video,2014.0,R,Trevor White,"Mary-Louise Parker,Ving Rhames,James Woods",2.99
Waterworld,4.7,10540,Prime Video,1995.0,PG-13,Kevin Reynolds,"Kevin Costner,Dennis Hopper,Jeanne Tripplehorn",3.79
The Imposter,4.0,433,Prime Video,2012.0,R,Bart Layton,"Frederic Bourdin,Adam O'Brian,Carey Gibson,Anna Ruben",4.830464886251237
Halloween II,4.7,12733,Prime Video,1981.0,R,Rick Rosenthal,"Jamie Lee Curtis,Donald Pleasence",3.99
"Six Days, Seven Nights",4.7,10579,Prime Video,1998.0,PG-13,Ivan Reitman,"Harrison Ford,Anne Heche,David Schwimmer",4.830464886251237
The King's Daughter,4.4,492,Prime Video,2022.0,PG,Sean Mcnamara,"Pierce Brosnon,Kaya Scodelario,William Hurt",4.830464886251237
A Good Person,4.6,1557,Prime Video,2023.0,R,Zach Braff,"Florence Pugh,Morgan Freeman,Celeste O'Connor",5.99
ParaNorman,4.8,8413,Prime Video,2012.0,PG,"Chris Butler,Sam Fell","Leslie Mann,Casey Affleck,Kodi Smit-McPhee",3.59
Mr. Church,4.8,21715,Prime Video,2016.0,PG-13,Bruce Beresford,"Eddie Murphy,Britt Robertson,Natascha McElhone",4.830464886251237
The Imposter,4.0,433,Prime Video,2012.0,R,Bart Layton,"Frederic Bourdin,Adam O'Brian,Carey Gibson,Anna Ruben",4.830464886251237
American Gothic,4.5,302,Prime Video,1988.0,R,John Hough,"Sarah Torgov,Terence Kelly",4.830464886251237
Halloween II,4.7,12733,Prime Video,1981.0,R,Rick Rosenthal,"Jamie Lee Curtis,Donald Pleasence",3.99
Rabbit Hole,4.0,1126,Prime Video,2011.0,PG-13,John Cameron Mitchell,"Nicole Kidman,Aaron Eckhart,Dianne Wiest",4.830464886251237
Hitman,4.6,5874,Prime Video,2007.0,R,Xavier Gens,"Timothy Olyphant,Robert Knepper,Dougray Scott",3.99
You Only Live Twice,4.7,2458,Prime Video,1967.0,PG,Lewis Gilbert,Sean Connery,3.99
Susie's Hope,4.5,1054,Prime Video,2014.0,PG-13,Jerry Rees,"Emmanuelle Vaguer,Burgess Jenkins,John Provost",4.830464886251237
Beyond Hoarding,4.1,101,Prime Video,2019.0,R,David C. Coffin,"Hillary Estner,John Tikson,Helen Chiarello",4.830464886251237
A Shot in the Dark,4.6,1099,Prime Video,1965.0,PG,Blake Edwards,"Peter Sellers,Elke Sommer,George Sander",4.830464886251237
Fall,4.4,176,Prime Video,1997.0,R,Eric Schaeffer,"Eric Schaeffer,Amanda De Cadenet,Rudolf Martin",4.830464886251237
7 Signs of Christ's Return,4.1,340,Prime Video,1997.0,R,Rolf Forsberg,"Edmund Purdom,Michael Rye",4.830464886251237
The Lord of the Rings: The Motion Picture Trilogy (Extended & Theatrical)(4K Ultra HD),4.8,37902,4K,2023.0,R,Peter Jackson,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen",76.99
Nightmare on Elm Street (2010),4.3,5976,Prime Video,2010.0,R,Samuel Bayer,"Jackie Haley,Kyle Gallner,Rooney Mara,Katie Cassidy",4.830464886251237
Rumble Fish,4.4,1420,Prime Video,1983.0,R,Francis Ford Coppola,"Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper",3.59
9 Hour Rainstorm for Sleep black screen,4.5,107,Prime Video,2017.0,R,,Mark Knight,1.99
Pearl: An X-traordinary Origin Story,4.3,3226,Prime Video,2022.0,R,Ti West,"Mia Goth,David Corenswet,Tandi Wright",3.99
Fury,4.7,36077,Prime Video,2014.0,R,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Pena",3.99
Old School,4.7,12888,Prime Video,2003.0,R,Todd Phillips,"Luke Wilson,Vince Vaughn,Will Ferrell,Jeremy Piven",3.29
Jerry & Marge Go Large,4.6,1959,Prime Video,2022.0,PG-13,David Frankel,"Bryan Cranston,Annette Bening,Rainn Wilson",3.89
The Slammin Salmon,4.5,2528,Prime Video,2009.0,R,Kevin Heffernan,"Michael Clarke Duncan,Jay Chandrasekhar",4.830464886251237
Unseen,4.0,70,Prime Video,2023.0,R,Yoko Okumura,"Midori Francis,Jolene Purdy,Missi Pyle",4.830464886251237
The Boogeyman,4.3,470,Prime Video,2023.0,PG-13,Rob Savage,"Sophie Thatcher,Chris Messina,Vivien Lyra Blair",5.99
World War Z (Extended),4.7,51314,Prime Video,2013.0,R,Marc Forster,"Brad Pitt,Mireille Enos,Fana Mokoena,James Badge Dale",3.79
Spider-Man: Far From Home,4.7,123576,Prime Video,2019.0,PG-13,Jon Watts,"Tom Holland,Jake Gyllenhaal,Michael Keaton",3.79
Penelope,4.8,2225,Prime Video,2008.0,PG,Mark Palansky,"Christina Ricci,James McAvoy,Reese Witherspoon",4.830464886251237
Bloodshot,4.3,77581,Prime Video,2020.0,R,Dave Wilson,"Vin Diesel,Eiza González,Sam Heughan,Guy Pearce",3.59
Wild Card,4.2,8806,Prime Video,2015.0,R,Simon West,"Jason Statham,Stanley Tucci,Sofia Vergara,Anne Heche",3.99
The King's Daughter,4.4,492,Prime Video,2022.0,PG,Sean Mcnamara,"Pierce Brosnon,Kaya Scodelario,William Hurt",4.830464886251237
Underworld: Blood Wars,4.7,25928,Prime Video,2017.0,R,Anna Foerster,"Kate Beckinsale,Theo James,Tobias Menzies,Lara Pulver",3.59
Tim Burton's Corpse Bride,4.8,21660,Prime Video,2005.0,PG,"Tim Burton,Mike Johnson","Johnny Depp,Helena Carter,Emily Watson,Tracey Ullman",4.830464886251237
A Shot in the Dark,4.6,1099,Prime Video,1965.0,PG,Blake Edwards,"Peter Sellers,Elke Sommer,George Sander",4.830464886251237
Big Sky River,4.7,117,Prime Video,2022.0,R,Peter Benson,"Kavan Smith,Emmanuelle Vaugier",4.830464886251237
Sudden Fury,4.5,105,Prime Video,1993.0,R,Craig R. Baxley,"Neil Patrick Harris,Johnny Galecki,Linda Kelsey",4.830464886251237
Hickok,4.0,758,Prime Video,2017.0,R,Timothy Woodward Jr.,"Luke Hemsworth,Trace Adkins,Kris Kristofferson",4.830464886251237
Labor Pains,4.3,138,Prime Video,2009.0,PG-13,Lara Shapiro,"Lindsay Lohan,Cheryl Hines,Chris Parnell",4.830464886251237
Prey For The Devil,4.3,5,Prime Video,2022.0,PG-13,Daniel Stamm,"Jacqueline Byers,Debora Zhecheva,Christian Navarro",4.830464886251237
Last Knights,4.6,3107,Prime Video,2015.0,R,Kazuaki Kiriya,"Morgan Freeman,Clive Owen,Shoreh Aghdashloo",4.830464886251237
Passengers,4.6,28518,Prime Video,2016.0,PG-13,Morten Tyldum,"Jennifer Lawrence,Chris Pratt,Michael Sheen",3.59
Noah,4.0,24063,Prime Video,2014.0,PG-13,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Ray Winstone",4.830464886251237
John Tucker Must Die,4.6,4132,Prime Video,2006.0,PG-13,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Sophia Bush",3.79
The Librarian: The Curse Of The Judas Chalice,4.7,1661,Prime Video,2009.0,R,Jonathan Frakes,Noah Wyle Flynn Carsen,4.830464886251237
A Cinderella Christmas,4.6,1978,Prime Video,2016.0,R,Tosca Musk,"Emma Rigby,Peter Porte,Sarah Stouffer,Mindy Cohn",4.830464886251237
Reprisal,4.0,1149,Prime Video,2018.0,R,Brian A. Miller,"Bruce Willis,Frank Grillo,Johnathon Schaech",4.830464886251237
The Many Saints Of Newark,4.3,2425,Prime Video,2021.0,R,Alan Taylor,"Alessandro Nivola,Leslie Odom Jr.,Jon Bernthal",3.59
