title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
John Wick: Chapter 4,4.6,41478,Prime Video,2023.0,R,Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård",5.99
Sicario,4.7,54268,Prime Video,2015.0,R,Denis Villeneuve,"Emily Blunt,Benicio Del Toro",4.830464886251237
The Addams Family,4.6,43712,Prime Video,2019.0,PG,Conrad Vernon,"Oscar Isaac,Charlize Theron,Chloë Grace Moretz",4.830464886251237
The Super Mario Bros. Movie - Bonus X-Ray Edition,4.8,43543,Prime Video,2023.0,PG,"Aaron Horvath,Michael Jelenic","Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",5.99
My Fault,4.7,927,Prime Video,2023.0,R,Domingo González,"Nicole Wallace,Gabriel Guevara,Marta Hazas",4.830464886251237
Sonic the Hedgehog 2,4.7,26592,Prime Video,2022.0,PG,Jeff Fowler,"James Marsden,Tika Sumpter,Natasha Rothwell",3.89
Jonah Hex,4.4,4307,Prime Video,2010.0,PG-13,Jimmy Hayward,"Josh Brolin,John Malkovich,Megan Fox",2.99
Parker,4.5,5516,Prime Video,2013.0,R,Taylor Hackford,"Jason Statham,Jennifer Lopez,Michael Chiklis",4.830464886251237
The Twilight Saga: New Moon,4.7,17894,Prime Video,2009.0,PG-13,Chris Weitz,"Dakota Fanning,Graham Greene,Elizabeth Reaser",3.99
Wonder Woman 1984,4.1,28644,Prime Video,2020.0,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",3.99
Angel Eyes,4.7,1380,Prime Video,2001.0,R,Luis Mandoki,"Jennifer Lopez,Jim Caviezel,Terrence Howard",3.59
Creed III,4.6,15089,Prime Video,2023.0,PG-13,Michael B. Jordan,"Michael B. Jordan,Tessa Thompson",5.99
M3GAN,4.3,1354,Prime Video,2023.0,PG-13,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
Justice League,4.5,39645,Prime Video,2017.0,PG-13,Zack Snyder,"Ben Affleck,Amy Adams,Gal Gadot,Ray Fisher",3.79
"Red, White & Royal Blue",4.7,3395,Prime Video,2023.0,R,Matthew López,"Nicholas Galitzine,Taylor Zakhar Perez,Uma Thurman",4.830464886251237
Saw,4.4,4792,Prime Video,2004.0,R,James Wan,"Cary Elwes,Danny Glover,Monica Potter,Michael Emerson",3.79
Smile,4.1,7864,Prime Video,2022.0,R,Parker Finn,"Sosie Bacon,Kyle Gallner,Jessie T. Usher",3.89
Love & Murder: Atlanta Playboy Part One,4.2,8,Prime Video,2023.0,R,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",4.830464886251237
Tales of Halloween,4.0,1307,Prime Video,2015.0,R,"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch","Lin Shaye,Pat Healy,Barry Bostwick,Joe Dante",4.830464886251237
The Addams Family 2,4.6,1696,Prime Video,2021.0,PG,"Greg Tiernan,Conrad Vernon,Laura Brousseau","Oscar Isaac,Charlize Theron,Chloë Grace Moretz",3.09
The Bourne Supremacy,4.8,9687,Prime Video,2004.0,PG-13,Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles",3.99
Knock at the Cabin,4.0,7976,Prime Video,2023.0,R,M. Night Shyamalan,"Dave Bautista,Jonathan Groff,Ben Aldridge",5.99
The Blackening,4.3,2125,Prime Video,2023.0,R,Tim Story,"Sinqua Walls,Jay Pharoah,James Preston Rogers",5.99
Harlem Nights,4.8,7235,Prime Video,1989.0,R,Eddie Murphy,"Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello",4.830464886251237
Godzilla vs. Kong,4.6,40533,Prime Video,2021.0,PG-13,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",3.99
The Black Phone,4.4,33531,Prime Video,2022.0,R,Scott Derrickson,"Ethan Hawke,Mason Thames,Madeleine McGraw",4.29
Transformers: Rise of the Beasts,4.5,12062,Prime Video,2023.0,PG-13,Steven Caple,"Anthony Ramos,Dominique Fishback",5.99
Suicide Squad (2016),4.5,42476,Prime Video,2016.0,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",3.79
Air,4.7,1332,Prime Video,2023.0,R,Ben Affleck,"Matt Damon,Ben Affleck,Viola Davis",4.830464886251237
Red Sparrow,4.4,15554,Prime Video,2018.0,R,Francis Lawrence,"Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts",4.830464886251237
The Bourne Identity,4.8,13372,Prime Video,2002.0,PG-13,Doug Liman,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen",3.59
Nope,4.1,24433,Prime Video,2022.0,R,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Steven Yeun",3.99
Everything is Both,4.5,135,Prime Video,2023.0,R,Ceth Watson,"Jason Mitchell,Barton Fitzpatrick",4.830464886251237
Memory,4.4,10525,Prime Video,2022.0,R,Martin Campbell,"Liam Neeson,Guy Pearce,Monica Bellucci,Taj Atwal",3.99
Freaky,4.3,23990,Prime Video,2020.0,R,Christopher Landon,"Vince Vaughn,Kathryn Newton,Katie Finneran",4.830464886251237
Nobody,4.6,86741,Prime Video,2021.0,R,Ilya Naishuller,"Bob Odenkirk,Connie Nielsen,Alexey Serebryakov,RZA",4.830464886251237
The Rebound,4.5,470,Prime Video,2012.0,R,Bart Freundlich,"Catherine Zeta-Jones,Justin Bartha,Andrew Cherry",4.830464886251237
Mama,4.5,11453,Prime Video,2013.0,PG-13,Andres Muschietti,"Jessica Chastain,Nikolaj Coster-Waldau",3.99
The Magic Of Belle Isle,4.8,7074,Prime Video,2012.0,PG,Rob Reiner,"Morgan Freeman,Virginia Madsen",2.99
Operation Fortune: Ruse de Guerre,4.2,4367,Prime Video,2023.0,R,Guy Ritchie,"Josh Hartnett,Jason Statham,Cary Elwes,Eddie Marsan",4.830464886251237
Edge of Darkness,4.5,3072,Prime Video,2010.0,R,Martin Campbell,"Mel Gibson,Ray Winstone,Danny Huston",2.99
Snapshot of Love,4.0,120,Prime Video,2022.0,R,Elizabeth Snoderly,"Lexi Giovagnoli,Benedict Mazurek",4.830464886251237
Puppy Love,4.6,193,Prime Video,2023.0,R,"Richard Alan Reid_,Nick Fabiano","Lucy Hale,Grant Gustin,Christine Lee,Al Miro",4.830464886251237
Cold Pursuit,4.3,9829,Prime Video,2019.0,R,Hans Petter Moland,"Liam Neeson,Laura Dern,Emmy Rossum,Tom Bateman",3.79
My Louisiana Sky,4.5,89,Prime Video,2001.0,R,Adam Arkin,"Juliette Lewis,Michael Cera,Shirley Knight",4.830464886251237
Running Scared,4.6,3273,Prime Video,2006.0,R,---,"Paul Walker,Cameron Bright,Vera Farmiga",2.89
Devil,4.5,4215,Prime Video,2010.0,PG-13,"John Erick Dowdle,Drew Dowdle","Chris Messina,Logan Marshall-Green,Geoffrey Arend",3.99
Wonder Woman,4.6,48638,Prime Video,2017.0,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Danny Huston",3.79
Interstellar,4.7,99475,Prime Video,2014.0,PG-13,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",3.79
PAW Patrol: The Movie,4.8,20083,Prime Video,2021.0,G,Cal Brunker,"Tyler Perry,Ron Pardo,Will Brisbin",3.89
Ozzy,4.4,938,Prime Video,2017.0,G,Alberto Rodriguez,"Jeff Foxworthy,Rob Schneider,Frankie Quinones",4.830464886251237
"The Twilight Saga: Breaking Dawn, Part 2",4.7,31962,Prime Video,2012.0,PG-13,Bill Condon,"Dakota Fanning,Elizabeth Reaser,Julia Jones",3.79
The Break-Up,4.6,4692,Prime Video,2006.0,PG-13,Sharon Vaughn,"Vince Vaughn,Jennifer Aniston,Joey Lauren Adams",3.99
The Tomorrow War,4.1,33263,Prime Video,2021.0,PG-13,Chris McKay,"Chris Pratt,J.K. Simmons,Yvonne Strahovski",4.830464886251237
No Hard Feelings,4.3,4255,Prime Video,2023.0,R,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",5.99
No Time to Die,4.5,74386,Prime Video,2021.0,PG-13,Cary Joji Fukunaga,"Daniel Craig,Rami Malek,Léa Seydoux,Lashana Lynch",3.99
The SpongeBob Movie: Sponge Out Of Water,4.5,26867,Prime Video,2015.0,PG,"Mike Mitchell,Paul Tibbitt",Antonio Banderas,4.830464886251237
Ticket to Paradise,4.3,19087,Prime Video,2022.0,R,Ol Parker,"George Clooney,Julia Roberts,Kaitlyn Dever",4.19
Shaft (2019),4.7,10840,Prime Video,2019.0,R,Tim Story,"Samuel L. Jackson,Jessie T. Usher,Richard Roundtree",4.830464886251237
Jigsaw,4.5,9556,Prime Video,2017.0,R,"Michael Spierig,Peter Spierig","Hannah Anderson,Laura Vandervoort",3.99
You Asked to See the Monster,4.0,551,Prime Video,2023.0,R,Thomas Leader,Gary Green,4.830464886251237
Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002.0,PG,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023.0,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
Talk to Me,4.3,645,Prime Video,2023.0,R,"Danny Philippou,Michael Philippou",Sophie Wilde,4.99
Constantine,4.8,14330,Prime Video,2005.0,R,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Tilda Swinton",3.99
